,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particle,Field,Livetime,Realtime,Tier,Area,Average diameter,Perimeter,Orientation,Max circle radius,Area in pixels,Volume of sphere,Equivalent diameter,Class,Total,C,O,Na,Cl,Al,Fe,Cu,Mg,Sr,S,N,Si,K,Ca,Tl,Cr,Pd,Mo,W,F,V,Sc,Ni,Ru,Ba,Rh,P,Mn,B,Field,Area,Average diameter,Volume of sphere
P71,23,11.691,11.691,0,0.384513,0.839528,2.569601,31,0.292637,19,0.563482,0.699698,Unclassified,1,0.7865534033,0.1965548213,0.0082967736,0.0051692167,,,,,,0.003425785,,,,,,,,,,,,,,,,,,,,23,0.384513,0.839528,0.563482
P72,24,11.235,11.235,0,0.283325,0.692779,2.062326,76,0.292637,14,0.356403,0.600617,Unclassified,1,0.7879805191,0.2063632407,0.0056562402,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.283325,0.692779,0.356403
P73,24,11.852,11.852,0,0.141663,0.521883,1.553,169,0.146319,7,0.126008,0.4247,Unclassified,1,0.7840399445,0.1882636781,0.0147607937,0.0111662709,,,,0.0017693128,,,,,,,,,,,,,,,,,,,,,,24,0.141663,0.521883,0.126008
P74,24,11.542,11.542,0,0.424988,0.840674,2.554418,114,0.327179,21,0.654755,0.735603,Unclassified,1,0.7341842439,0.2476327534,0.0071139705,0.0050113592,,,,0.0011806872,,0.0048769857,,,,,,,,,,,,,,,,,,,,24,0.424988,0.840674,0.654755
P75,25,10.448,10.448,0,0.627363,1.065604,3.259922,79,0.413852,31,1.174336,0.893747,Unclassified,1,0.760242967,0.2194306219,0.011728549,,,,,0.0014611881,,0.0071366739,,,,,,,,,,,,,,,,,,,,25,0.627363,1.065604,1.174336
P76,25,8.455,8.455,0,0.141663,0.511702,1.522634,103,0.146319,7,0.126008,0.4247,Unclassified,1,0.8919406773,0.1005360589,,,,,,,,,,0.0013774935,,,,,0.0061457703,,,,,,,,,,,,,25,0.141663,0.511702,0.126008
P77,25,8.407,8.407,0,0.121425,0.455239,1.356822,0,0.146319,6,0.099995,0.393196,Unclassified,1,0.8995287995,0.1004712005,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.121425,0.455239,0.099995
P78,25,8.389,8.389,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.9039109542,0.0960890458,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.08095,0.362155,0.05443
P79,25,8.656,8.656,0,1.011876,1.355051,4.210446,117,0.4627,50,2.405496,1.13506,Unclassified,1,0.9270797772,0.0729202228,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1.011876,1.355051,2.405496
P80,25,8.703,8.703,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.9062891145,0.0927042534,,,,,,,,,,0.001006632,,,,,,,,,,,,,,,,,,25,0.08095,0.362155,0.05443
P81,25,11.97,11.97,0,0.141663,0.490353,1.456557,0,0.206926,7,0.126008,0.4247,Unclassified,1,0.7765974199,0.2090746524,0.0027376941,,,,,0.0028107394,,0.0072427575,,0.0015367367,,,,,,,,,,,,,,,,,,25,0.141663,0.490353,0.126008
P82,25,8.401,8.401,0,0.141663,0.508347,1.537817,140,0.146319,7,0.126008,0.4247,Unclassified,1,0.916005941,0.0830002938,,,,,,,,,,0.0009937652,,,,,,,,,,,,,,,,,,25,0.141663,0.508347,0.126008
P83,25,11.495,11.495,0,4.634392,3.639213,13.235054,115,0.78795,229,23.577778,2.429134,Unclassified,1,0.9464053977,0.0535946023,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.634392,3.639213,23.577778
P84,25,8.185,8.185,0,48.792664,13.003019,75.627096,46,1.761911,2411,805.462769,7.881925,Unclassified,1,0.8791353519,0.1208646481,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,48.792664,13.003019,805.462769
P85,25,8.893,8.893,0,2.145177,2.334215,8.339631,108,0.4627,106,7.425205,1.652672,Unclassified,1,0.8728450542,0.1271549458,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2.145177,2.334215,7.425205
P86,25,8.408,8.408,0,14.793628,7.214365,23.142059,140,1.11433,731,134.470098,4.340027,Unclassified,1,0.9077735189,0.0922264811,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,14.793628,7.214365,134.470098
P87,25,10.391,10.391,0,0.445225,0.994474,3.043216,0,0.292637,22,0.702075,0.752913,Unclassified,1,0.87471665,0.1240980713,,,,,,,,,,0.0011852787,,,,,,,,,,,,,,,,,,25,0.445225,0.994474,0.702075
P88,25,10.481,10.481,0,9.208072,4.252092,18.908604,134,0.827704,455,66.03387,3.424045,Unclassified,1,0.8598709585,0.1387092144,,,,,,,,,,0.0014198271,,,,,,,,,,,,,,,,,,25,9.208072,4.252092,66.03387
